State,Population,AreaInSqKm,DensityPerSqKm
UttarPradesh,199812341,240928,829
Maharashtra,112374333,307713,365
Bihar,104099452,94163,1106
WestBengal,91276115,88752,1028
AndhraPradesh,84580777,275045,308
MadhyaPradesh,72626809,308252,236	
